att_current,att_avg_4w,att_total_drop,att_slope,ia_latest,ia_avg,has_ia_data,backlog_current,backlog_growing,fee_outstanding,weeks_tracked,Family_Income,HighSchool_Grade,Home_Location,Dropout
61.78,63.54,2.73,-1.367,21.79,22.79,1,0,0,0,3,18000,47.0,Urban,0
57.85,57.82,-7.1,1.065,21.65,24.53,1,0,0,1,9,10000,56.1,Rural,1
67.93,69.76,22.91,-2.825,16.69,11.66,1,1,0,0,10,30000,68.8,Rural,1
61.03,57.2,-9.06,1.739,23.49,23.92,1,1,0,0,6,75000,87.4,Urban,0
81.16,77.62,-33.88,2.747,22.3,27.68,1,2,0,0,13,50000,86.2,Rural,0
59.19,56.59,-7.07,0.781,25.75,30.78,1,0,0,1,11,18000,75.2,Rural,0
94.94,91.39,-20.61,1.521,18.45,19.91,1,1,0,0,15,30000,58.6,Semi-Urban,0
82.17,81.31,-3.56,0.399,31.48,28.65,1,1,0,1,7,30000,86.3,Rural,0
99.14,94.95,-41.19,2.925,24.35,27.47,1,3,0,0,14,5000,85.3,Rural,0
27.19,28.67,8.13,-1.213,25.25,16.44,1,0,0,1,9,30000,61.3,Rural,1
76.74,73.16,-16.96,2.192,24.33,28.92,1,0,0,0,9,10000,77.7,Rural,0
72.13,77.08,20.3,-4.524,16.23,19.5,1,0,0,1,5,18000,94.7,Semi-Urban,1
62.19,60.47,-13.51,1.742,27.51,29.81,1,0,0,0,10,75000,43.5,Rural,0
71.02,68.32,-8.75,1.519,30.68,34.2,1,0,0,0,8,75000,94.8,Rural,0
95.7,91.86,-16.47,1.781,29.66,28.67,1,0,0,1,11,30000,88.9,Urban,0
32.75,36.92,32.4,-3.305,26.3,26.7,1,0,0,0,11,18000,60.9,Rural,1
83.21,82.04,-7.84,1.604,21.8,22.48,1,0,0,1,6,18000,51.1,Rural,0
77.77,75.48,-2.39,1.194,18.33,24.72,1,0,0,0,3,30000,52.4,Semi-Urban,0
91.15,88.14,-3.92,0.692,21.57,24.74,1,0,0,1,5,30000,90.8,Rural,0
82.91,77.88,-7.65,3.825,20.28,22.95,1,3,0,0,3,50000,97.0,Urban,0
72.71,69.19,-8.47,4.236,34.88,34.55,1,0,0,1,3,10000,63.0,Urban,0
68.42,65.88,-13.32,1.504,33.1,33.55,1,0,0,1,10,50000,82.2,Urban,0
49.2,46.08,-13.06,2.45,38.35,38.71,1,1,0,0,6,30000,84.6,Semi-Urban,0
53.57,49.99,-8.59,1.57,24.98,28.62,1,0,0,0,5,75000,46.9,Semi-Urban,0
88.67,84.15,-39.54,2.976,36.51,37.79,1,0,0,0,14,18000,90.4,Semi-Urban,0
30.5,36.33,42.41,-3.541,20.85,22.0,1,0,0,0,13,75000,83.6,Semi-Urban,1
45.31,50.4,10.35,-2.659,26.27,30.02,1,0,0,1,5,10000,73.3,Semi-Urban,1
68.7,76.71,12.39,-6.194,24.05,28.96,1,0,0,1,3,50000,48.3,Urban,1
91.97,94.85,4.03,-2.016,38.7,39.23,1,0,0,1,3,10000,62.6,Urban,0
49.97,50.24,-10.17,0.842,30.13,19.92,1,0,0,1,12,30000,85.8,Urban,0
90.79,91.17,-4.73,0.574,18.8,21.22,1,1,0,0,11,50000,41.3,Urban,0
62.94,56.55,-19.49,2.305,40.0,40.0,1,1,0,0,9,18000,79.5,Urban,0
100.0,100.0,-17.25,1.545,31.35,33.67,1,0,0,0,14,18000,87.3,Rural,0
65.61,70.08,9.05,-4.524,14.01,11.66,1,4,1,0,3,5000,55.3,Urban,1
79.49,77.7,-16.32,1.233,30.08,25.59,1,1,0,0,14,18000,95.4,Urban,0
25.43,31.66,12.52,-3.815,28.41,26.92,1,0,0,0,4,18000,56.7,Urban,1
65.88,67.53,1.75,-0.923,18.33,17.49,1,0,0,1,4,18000,93.6,Rural,0
86.98,84.16,-5.65,5.651,0.0,0.0,0,0,0,0,2,75000,49.5,Urban,0
53.72,55.36,-1.64,0.524,22.55,20.55,1,0,0,0,7,5000,97.8,Semi-Urban,0
26.88,30.72,27.19,-2.013,19.71,11.65,1,4,1,1,13,50000,61.7,Urban,1
20.0,20.07,26.13,-2.125,14.66,14.05,1,1,1,1,13,10000,64.4,Urban,1
59.84,65.08,18.15,-2.429,24.56,25.12,1,0,0,1,8,10000,49.1,Rural,1
28.82,31.78,14.18,-1.336,17.96,15.99,1,1,0,0,13,30000,81.1,Semi-Urban,1
20.0,21.36,37.73,-2.791,18.15,12.67,1,1,1,0,16,18000,59.6,Rural,1
46.69,46.63,-7.75,1.691,31.69,35.67,1,2,0,1,7,18000,55.5,Urban,1
73.07,76.87,2.98,-1.488,24.74,27.48,1,1,1,0,3,75000,92.2,Urban,0
78.15,73.02,-23.33,2.911,33.61,33.1,1,0,0,1,9,10000,98.6,Urban,0
71.2,72.58,-4.19,0.67,19.49,17.65,1,0,0,0,8,30000,93.4,Urban,0
40.78,41.2,-1.72,0.479,21.5,20.6,1,1,0,0,8,50000,84.6,Semi-Urban,0
87.68,79.26,-34.55,2.605,40.0,39.44,1,1,0,0,12,50000,87.0,Semi-Urban,0
71.92,68.44,-3.92,1.961,32.47,31.77,1,0,0,1,3,10000,40.4,Rural,0
75.23,70.48,-17.95,1.024,26.31,24.62,1,0,0,1,14,30000,68.5,Rural,0
71.09,68.68,-2.9,0.436,20.99,23.31,1,3,0,0,8,30000,69.7,Urban,0
88.86,89.57,1.42,-1.419,0.0,0.0,0,0,0,0,2,10000,47.9,Semi-Urban,0
55.61,57.02,-1.94,0.783,31.54,29.17,1,0,0,1,6,10000,56.2,Semi-Urban,0
48.62,49.26,-9.14,1.788,35.08,35.4,1,0,0,1,8,18000,73.2,Semi-Urban,0
47.53,52.8,39.99,-2.605,11.73,13.94,1,0,0,0,16,30000,89.1,Rural,1
59.11,54.46,-22.64,3.229,23.1,21.93,1,1,0,1,8,18000,59.0,Rural,0
51.0,52.45,3.58,-1.789,8.46,11.2,1,0,0,0,3,5000,71.5,Rural,1
49.68,44.72,-7.8,3.902,37.59,37.8,1,1,0,1,3,10000,76.5,Rural,1
91.65,89.78,-16.68,1.196,38.22,35.77,1,1,0,0,14,10000,64.6,Semi-Urban,0
97.65,92.39,-10.31,0.789,21.88,24.28,1,2,0,0,9,50000,80.3,Rural,0
20.0,20.0,21.4,-1.629,28.01,25.41,1,2,1,1,14,50000,52.1,Rural,1
100.0,100.0,-9.27,0.767,29.46,25.01,1,0,0,1,11,18000,81.1,Semi-Urban,0
77.34,77.07,-18.76,1.639,24.99,21.13,1,1,0,1,13,5000,88.6,Rural,0
20.6,25.43,20.11,-2.999,21.08,24.34,1,0,0,1,8,75000,79.4,Rural,1
91.98,92.11,-0.32,0.158,34.73,38.95,1,2,0,1,3,75000,58.1,Rural,0
32.29,35.75,28.88,-2.764,18.49,19.65,1,2,1,0,13,18000,56.4,Semi-Urban,1
63.7,66.94,21.27,-1.285,34.31,28.92,1,0,0,1,15,30000,52.0,Semi-Urban,0
43.51,43.47,3.95,-1.761,15.48,17.45,1,1,1,1,4,5000,61.8,Semi-Urban,1
71.68,69.94,-9.8,1.107,21.54,23.82,1,1,0,1,9,75000,49.3,Semi-Urban,0
77.04,72.7,-9.3,4.651,32.21,34.16,1,0,0,0,3,30000,70.3,Semi-Urban,0
88.63,89.14,5.39,-1.982,24.44,27.63,1,1,0,0,4,50000,93.0,Semi-Urban,0
64.57,64.62,0.49,-0.246,30.55,27.74,1,0,0,0,3,18000,53.0,Semi-Urban,0
40.94,42.52,3.17,-3.172,0.0,0.0,0,0,0,1,2,5000,43.0,Urban,1
49.47,51.19,18.87,-1.752,21.66,24.56,1,1,0,0,13,5000,82.8,Rural,1
41.12,46.94,29.65,-3.917,15.71,10.79,1,0,0,1,10,10000,56.5,Rural,1
20.0,21.46,14.62,-2.79,21.43,27.4,1,3,0,0,7,10000,83.1,Semi-Urban,1
100.0,100.0,-4.72,0.722,33.77,34.3,1,0,0,0,10,5000,97.2,Rural,0
20.0,23.43,41.55,-3.514,12.91,16.47,1,3,1,1,13,10000,72.3,Rural,1
73.62,73.01,-5.95,1.63,32.51,28.74,1,3,0,0,6,50000,57.0,Rural,0
85.49,81.98,-10.34,1.797,30.96,33.4,1,1,0,0,7,30000,49.2,Urban,0
37.59,34.92,5.22,-1.714,20.22,20.38,1,1,1,1,5,50000,50.8,Rural,1
75.02,71.75,-8.75,2.419,21.62,24.57,1,0,0,0,5,5000,54.9,Rural,0
24.64,26.66,13.6,-1.21,24.25,20.51,1,0,0,0,16,10000,82.2,Urban,0
74.46,76.02,6.64,-1.624,31.58,25.83,1,2,1,1,6,30000,54.5,Semi-Urban,1
56.48,56.18,30.78,-2.533,31.78,31.52,1,0,0,0,15,5000,42.0,Rural,1
44.92,42.96,-8.64,1.129,32.92,32.03,1,3,0,0,8,10000,77.1,Semi-Urban,1
32.07,38.53,16.92,-1.068,27.92,30.26,1,2,1,1,15,10000,88.4,Urban,1
50.06,54.31,11.97,-1.842,20.99,24.78,1,0,0,1,6,10000,46.7,Urban,1
93.22,92.41,-12.13,1.805,40.0,38.51,1,0,0,0,8,30000,68.4,Semi-Urban,0
40.0,42.89,15.44,-2.129,14.49,17.59,1,1,1,0,7,5000,49.6,Rural,1
98.01,91.9,-26.35,2.696,33.29,33.01,1,3,0,0,10,50000,40.4,Rural,0
97.68,97.89,-4.38,1.008,38.55,37.24,1,3,0,0,8,18000,64.7,Rural,0
55.66,56.09,7.43,-1.385,25.08,23.68,1,0,0,0,7,10000,74.1,Semi-Urban,0
26.47,33.18,16.9,-1.118,15.56,17.9,1,1,1,1,11,30000,60.9,Urban,1
68.65,67.98,-4.06,0.791,27.21,30.4,1,3,0,0,5,50000,43.6,Semi-Urban,0
48.22,51.23,35.79,-2.576,30.2,25.68,1,1,0,1,15,5000,42.5,Rural,1
22.75,31.08,41.05,-3.71,22.71,27.69,1,0,0,0,12,18000,94.4,Urban,0
35.24,42.55,32.49,-3.298,14.29,14.91,1,3,1,0,10,5000,40.2,Rural,1
57.85,58.16,24.14,-2.458,27.09,28.14,1,0,0,0,13,18000,65.4,Rural,1
66.41,68.17,24.08,-2.329,24.31,17.1,1,0,0,0,12,30000,49.1,Urban,0
77.8,78.88,5.95,-1.957,21.69,21.32,1,0,0,1,4,10000,61.9,Semi-Urban,0
100.0,100.0,-12.08,1.163,30.01,31.43,1,0,0,1,11,50000,73.0,Semi-Urban,0
80.58,79.34,-18.43,1.175,38.13,33.03,1,0,0,0,16,75000,54.0,Rural,0
65.58,64.13,-9.27,0.986,30.78,30.88,1,0,0,1,12,5000,81.3,Urban,0
88.12,86.65,-10.86,0.886,30.33,33.04,1,0,0,1,13,30000,60.5,Urban,0
79.72,75.0,-27.65,2.506,32.52,27.38,1,0,0,0,11,50000,64.3,Semi-Urban,0
47.26,52.11,9.47,-0.906,14.5,15.63,1,1,0,0,12,10000,86.9,Semi-Urban,1
58.29,67.12,23.11,-3.763,18.11,20.32,1,1,1,0,7,10000,91.6,Rural,1
58.79,54.51,-7.09,3.544,22.63,24.23,1,0,0,1,3,18000,51.8,Semi-Urban,0
91.35,87.63,-17.07,2.017,23.07,31.4,1,0,0,0,9,75000,88.8,Urban,0
62.67,62.72,20.79,-2.229,17.68,20.04,1,2,0,0,12,50000,46.0,Semi-Urban,1
70.3,66.78,-18.01,1.91,28.74,34.72,1,1,0,0,9,50000,63.0,Semi-Urban,0
100.0,99.78,-4.6,0.671,36.66,37.47,1,0,0,0,16,50000,82.4,Urban,0
100.0,98.8,-16.21,1.801,40.0,35.61,1,0,0,1,11,10000,73.3,Semi-Urban,0
85.45,85.7,-7.8,0.539,32.06,28.23,1,0,0,0,14,10000,88.6,Semi-Urban,0
76.47,76.82,-1.08,0.54,21.8,19.11,1,0,0,1,3,18000,89.4,Urban,0
95.58,93.17,-10.91,2.63,20.38,22.36,1,2,0,0,5,18000,62.8,Semi-Urban,0
93.46,92.31,-8.78,0.613,32.58,32.07,1,2,0,1,16,5000,42.4,Rural,0
60.04,65.4,7.59,-3.795,15.85,15.68,1,1,1,1,3,5000,52.9,Urban,1
50.84,49.04,-1.82,0.911,16.61,23.01,1,0,0,0,3,30000,77.6,Semi-Urban,0
100.0,100.0,-8.77,0.917,40.0,33.24,1,3,0,0,9,18000,43.7,Urban,0
26.1,28.76,11.73,-1.913,31.67,28.12,1,0,0,0,8,10000,76.2,Rural,0
66.76,66.79,-17.62,1.606,31.34,31.3,1,0,0,1,15,30000,50.5,Semi-Urban,0
64.2,60.85,-10.14,1.6,38.17,38.71,1,0,0,0,7,30000,58.2,Semi-Urban,0
74.77,76.74,2.85,-0.761,26.47,28.75,1,0,0,1,6,10000,75.6,Urban,0
61.62,58.15,-7.11,0.702,29.51,30.82,1,2,0,1,8,5000,73.1,Urban,0
71.77,68.94,-21.63,2.336,38.83,40.0,1,0,0,0,10,30000,94.6,Semi-Urban,0
52.1,52.83,8.3,-1.391,31.1,25.65,1,0,0,1,6,30000,45.3,Urban,0
90.74,84.91,-18.81,2.224,37.09,35.09,1,1,0,0,9,50000,78.3,Urban,0
28.46,32.45,30.23,-2.433,26.5,28.45,1,1,0,0,13,10000,80.3,Urban,1
50.05,48.63,-1.49,-0.183,36.56,37.59,1,1,0,1,6,10000,58.1,Urban,1
91.61,87.91,-18.1,2.59,35.5,31.22,1,0,0,1,7,10000,91.0,Rural,0
39.87,38.83,-0.1,0.173,35.25,36.91,1,1,0,1,6,30000,46.8,Rural,1
58.86,57.11,1.79,-0.367,10.47,12.54,1,1,0,0,5,30000,86.9,Urban,0
57.26,55.83,-23.75,1.484,28.14,24.98,1,0,0,1,16,5000,45.9,Rural,0
100.0,98.02,-4.52,0.996,30.16,29.84,1,2,0,0,7,5000,75.2,Urban,0
51.85,54.24,17.18,-2.924,26.02,27.94,1,4,0,1,7,30000,85.3,Semi-Urban,1
39.07,39.08,0.87,-0.597,13.01,12.93,1,0,0,1,6,10000,63.2,Rural,1
100.0,100.0,-4.83,0.182,21.58,22.24,1,1,0,0,15,5000,55.9,Urban,0
100.0,100.0,-4.94,0.466,28.49,28.18,1,2,0,1,12,5000,94.9,Semi-Urban,0
45.93,45.51,-11.72,0.715,33.17,32.15,1,0,0,0,16,30000,72.1,Rural,0
37.31,39.35,8.53,-2.59,20.24,22.2,1,0,0,1,5,30000,68.3,Urban,1
53.63,52.74,-5.54,0.417,29.16,29.35,1,0,0,1,9,30000,52.3,Rural,0
20.0,20.17,21.51,-1.695,24.76,24.56,1,1,1,0,15,10000,89.8,Rural,1
65.01,68.83,8.37,-2.151,20.57,17.73,1,0,0,1,4,5000,47.3,Semi-Urban,1
55.49,55.04,3.0,-0.582,36.59,34.89,1,2,0,1,4,18000,65.4,Rural,1
92.62,88.06,-15.0,2.582,19.89,16.93,1,1,0,0,7,50000,49.3,Semi-Urban,0
37.25,38.6,51.16,-3.766,12.24,14.13,1,1,1,0,14,5000,92.5,Rural,1
52.65,51.09,-10.01,1.134,31.84,30.48,1,1,0,1,9,10000,49.6,Urban,0
72.37,70.38,12.81,-1.251,15.88,17.81,1,0,0,0,16,30000,74.3,Rural,0
54.31,48.17,-15.0,3.324,29.95,32.9,1,0,0,1,5,10000,63.5,Rural,0
80.31,79.07,-7.65,1.332,40.0,33.94,1,0,0,1,8,50000,81.7,Rural,0
69.62,70.86,5.82,-1.159,21.55,21.72,1,3,1,0,5,18000,79.0,Semi-Urban,1
72.04,77.68,9.92,-4.958,29.24,25.37,1,0,0,0,3,10000,67.5,Rural,1
52.68,54.33,27.1,-3.222,10.23,11.6,1,0,0,1,10,10000,98.1,Rural,1
66.76,67.93,13.94,-1.311,25.18,25.12,1,0,0,1,9,10000,74.0,Rural,0
20.0,24.01,45.48,-3.919,9.67,7.74,1,0,0,0,13,50000,49.0,Urban,1
44.49,41.28,-6.42,6.418,0.0,0.0,0,0,0,1,2,18000,60.5,Urban,0
24.47,29.6,24.02,-2.38,17.62,20.56,1,0,0,0,10,18000,66.7,Semi-Urban,1
34.46,37.9,20.71,-2.701,24.73,28.74,1,0,0,1,9,50000,84.8,Rural,1
61.05,65.48,31.94,-3.056,27.85,23.75,1,1,1,1,12,30000,69.7,Urban,1
72.09,70.34,-18.42,1.383,31.21,24.99,1,3,0,1,14,50000,53.7,Rural,1
74.51,75.46,1.91,-1.909,0.0,0.0,0,0,0,0,2,75000,77.8,Semi-Urban,0
65.98,61.6,-24.95,2.526,22.87,23.04,1,0,0,1,11,30000,72.2,Semi-Urban,0
100.0,99.34,-9.17,1.695,25.74,32.01,1,0,0,0,6,30000,89.3,Urban,0
82.13,79.31,-4.23,2.113,38.72,38.17,1,3,0,1,3,30000,62.4,Urban,0
72.97,69.85,-21.26,2.239,34.91,36.38,1,0,0,0,10,10000,81.4,Urban,0
28.62,31.49,10.82,-2.334,34.63,28.28,1,1,0,1,6,75000,71.0,Urban,1
86.84,84.82,-9.48,1.637,27.99,27.69,1,0,0,1,6,10000,90.6,Rural,0
43.86,42.39,-2.94,2.943,0.0,0.0,0,0,0,0,2,10000,69.6,Rural,0
59.51,59.87,-1.34,0.668,32.07,28.75,1,0,0,0,3,18000,42.0,Urban,0
76.43,70.86,-17.41,3.964,35.63,34.47,1,0,0,1,5,18000,70.6,Urban,0
61.05,61.49,3.52,-1.115,10.16,15.01,1,0,0,1,4,30000,51.1,Semi-Urban,0
73.56,72.52,-17.37,2.521,21.25,21.74,1,0,0,1,9,30000,75.0,Semi-Urban,0
78.14,76.27,-10.15,2.481,21.04,21.43,1,4,0,0,5,75000,63.7,Urban,0
74.34,79.82,11.27,-3.974,10.92,13.22,1,0,0,0,4,30000,69.9,Rural,1
45.31,49.02,11.11,-2.496,23.35,26.8,1,1,1,1,6,18000,76.2,Urban,1
100.0,99.54,-14.13,1.231,33.07,25.48,1,0,0,0,13,18000,59.8,Semi-Urban,0
60.8,67.73,33.38,-3.602,26.76,27.53,1,3,1,1,10,30000,80.6,Semi-Urban,1
57.26,61.09,5.06,-1.716,21.31,20.25,1,0,0,1,4,5000,80.7,Semi-Urban,1
88.61,88.5,-4.48,0.895,24.44,26.29,1,0,0,1,10,50000,91.7,Semi-Urban,0
20.0,22.02,34.58,-2.969,24.5,18.16,1,0,0,0,13,10000,47.5,Rural,1
52.24,55.11,19.3,-1.503,22.22,21.33,1,0,0,1,15,18000,85.0,Urban,0
58.99,58.24,-0.89,0.292,23.87,25.11,1,2,0,1,7,30000,41.5,Semi-Urban,0
85.0,82.91,-10.05,1.626,23.22,21.82,1,3,0,1,9,50000,40.7,Semi-Urban,0
67.12,68.6,-1.58,0.792,27.87,28.17,1,0,0,0,3,50000,72.6,Rural,0
71.04,68.01,-11.22,1.998,28.28,30.98,1,0,0,1,7,18000,91.1,Semi-Urban,0
87.97,86.92,-13.3,1.239,28.09,30.58,1,3,0,0,11,5000,69.3,Semi-Urban,0
65.98,61.32,-11.81,2.258,23.29,21.76,1,1,0,0,7,30000,42.1,Rural,0
64.64,58.47,-12.39,2.274,37.63,32.81,1,1,0,0,6,30000,58.1,Urban,0
99.83,97.82,-3.29,0.527,26.38,25.35,1,1,0,1,10,18000,44.1,Urban,0
55.9,54.57,-20.88,2.787,37.6,36.77,1,3,0,1,9,50000,43.8,Urban,0
20.0,20.0,20.49,-1.327,25.49,25.86,1,3,1,0,14,50000,65.2,Semi-Urban,1
83.81,82.17,-8.5,1.717,35.23,31.6,1,1,0,1,5,10000,53.2,Semi-Urban,0
50.5,47.67,-6.92,1.825,40.0,37.14,1,0,0,1,5,5000,42.4,Rural,1
73.28,69.89,-16.83,2.667,28.1,26.07,1,1,0,0,8,50000,41.4,Rural,0
87.75,88.24,-6.48,1.613,38.94,35.92,1,0,0,0,6,10000,57.8,Urban,0
20.0,20.0,12.77,-0.845,29.71,22.43,1,2,1,0,14,5000,76.0,Semi-Urban,1
47.92,51.62,28.99,-3.629,30.99,31.75,1,0,0,1,11,30000,72.3,Semi-Urban,1
76.83,73.1,-12.39,1.766,18.91,20.98,1,1,0,0,8,50000,76.7,Rural,0
80.23,80.76,-11.47,1.913,37.09,37.56,1,0,0,0,9,50000,58.4,Semi-Urban,0
20.0,20.0,16.56,-2.028,13.11,8.76,1,2,0,0,11,10000,43.3,Semi-Urban,1
32.52,36.65,31.48,-3.367,12.33,11.07,1,0,0,1,11,10000,77.3,Urban,1
58.46,58.99,23.98,-2.346,22.62,21.59,1,0,0,0,12,10000,41.1,Rural,1
20.28,25.34,18.87,-2.988,15.81,20.58,1,3,0,0,6,75000,52.3,Rural,1
22.97,27.58,22.82,-1.841,13.56,12.05,1,0,0,1,13,30000,82.5,Urban,1
65.91,70.0,11.53,-1.384,20.18,19.4,1,2,1,1,10,30000,83.5,Rural,1
47.49,54.93,36.73,-2.829,17.23,13.24,1,0,0,1,13,18000,74.6,Semi-Urban,1
83.89,79.7,-13.79,2.145,31.01,29.62,1,0,0,1,7,5000,71.3,Urban,0
62.55,68.26,17.56,-3.093,10.48,13.33,1,0,0,1,6,30000,93.9,Urban,1
60.02,56.38,-25.24,2.525,26.75,22.21,1,0,0,1,11,5000,43.1,Rural,0
100.0,98.62,-19.15,2.03,25.71,27.24,1,0,0,1,10,10000,41.0,Rural,0
68.47,63.96,-9.38,4.691,26.94,29.36,1,3,0,0,3,5000,73.0,Semi-Urban,0
41.71,40.9,-1.62,1.625,0.0,0.0,0,4,0,1,2,18000,69.7,Semi-Urban,1
74.92,71.48,-6.83,3.413,9.65,14.12,1,3,1,1,3,50000,42.3,Semi-Urban,1
40.16,44.44,32.84,-3.281,22.47,19.62,1,0,0,0,11,5000,71.3,Rural,1
36.46,36.02,-0.88,0.88,0.0,0.0,0,0,0,1,2,18000,61.3,Rural,0
74.48,75.67,6.99,-3.497,20.0,21.68,1,0,0,1,3,10000,96.8,Rural,1
84.36,80.27,-27.91,2.935,40.0,39.05,1,4,0,0,11,10000,97.4,Rural,0
61.96,62.19,3.52,-1.422,23.14,23.31,1,4,1,1,4,5000,48.9,Urban,1
58.17,60.75,3.25,-1.448,27.84,26.12,1,0,0,0,5,75000,73.3,Semi-Urban,0
43.02,43.32,0.28,-0.138,32.24,39.05,1,0,0,1,3,5000,58.6,Urban,1
