Family_Income,Scholarship,Education_Loan,Father_Occupation,Mother_Occupation,Parent_Education,Home_Location,HighSchool_Grade,Admission_Quota,Dropout,Batch
8000,No,No,Driver,Homemaker,HighSchool,Rural,47.6,Merit,1,2021
18000,Yes,No,Daily Wage Worker,Government Job,Postgraduate,Rural,67.5,Sports,0,2022
5000,No,No,Farmer,Nurse,HighSchool,Urban,49.7,Merit,1,2021
8000,Yes,Yes,Engineer,Teacher,Diploma,Semi-Urban,86.2,Merit,0,2021
35000,Yes,No,Doctor,Nurse,Graduate,Semi-Urban,42.2,SC/ST,0,2021
45000,Yes,No,Farmer,Farmer,Primary School,Urban,81.4,SC/ST,1,2024
100000,Yes,No,Teacher,Nurse,Diploma,Semi-Urban,63.7,OBC,0,2022
12000,Yes,Yes,Daily Wage Worker,Shopkeeper,Graduate,Rural,55.6,Merit,1,2022
18000,No,No,Small Business,Shopkeeper,Postgraduate,Semi-Urban,96.7,OBC,0,2023
18000,Yes,Yes,Engineer,Factory Worker,Graduate,Urban,57.2,Management,0,2023
8000,Yes,No,Daily Wage Worker,Farmer,Primary School,Rural,52.5,Management,1,2023
8000,Yes,No,Teacher,Homemaker,HighSchool,Rural,65.5,OBC,0,2022
18000,Yes,No,Doctor,Farmer,HighSchool,Urban,57.8,Merit,0,2022
12000,No,No,Doctor,Daily Wage Worker,Diploma,Semi-Urban,82.9,SC/ST,0,2022
35000,No,No,Doctor,Farmer,Postgraduate,Rural,41.8,SC/ST,1,2024
18000,No,Yes,Teacher,Teacher,No Formal Education,Semi-Urban,80.8,SC/ST,1,2022
60000,No,No,Teacher,Nurse,HighSchool,Urban,64.9,Merit,0,2023
35000,Yes,Yes,Teacher,Nurse,Diploma,Rural,86.3,Merit,0,2022
12000,Yes,No,Small Business,Teacher,Primary School,Rural,59.7,SC/ST,1,2022
60000,No,No,Teacher,Factory Worker,Diploma,Semi-Urban,41.1,Management,0,2023
45000,No,Yes,Farmer,Shopkeeper,Primary School,Semi-Urban,85.0,Merit,1,2021
18000,Yes,Yes,Daily Wage Worker,Government Job,Graduate,Rural,47.8,Management,1,2022
12000,No,No,Shopkeeper,Government Job,HighSchool,Semi-Urban,68.2,Management,1,2021
35000,Yes,No,Farmer,Teacher,Diploma,Semi-Urban,89.1,Merit,0,2021
8000,Yes,Yes,Farmer,Homemaker,Graduate,Semi-Urban,94.6,Merit,1,2022
8000,No,No,Government Job,Factory Worker,HighSchool,Semi-Urban,54.5,OBC,1,2021
3000,No,Yes,Shopkeeper,Farmer,HighSchool,Rural,89.5,Merit,1,2021
45000,Yes,Yes,Driver,Farmer,Diploma,Rural,85.8,SC/ST,1,2023
35000,No,No,Factory Worker,Factory Worker,Graduate,Urban,94.5,SC/ST,0,2022
35000,Yes,Yes,Farmer,Shopkeeper,Diploma,Semi-Urban,88.1,Sports,1,2023
45000,No,No,Teacher,Factory Worker,Diploma,Semi-Urban,45.3,Merit,0,2024
18000,No,Yes,Driver,Factory Worker,Graduate,Semi-Urban,95.7,SC/ST,1,2022
25000,No,Yes,Government Job,Daily Wage Worker,Diploma,Rural,41.5,Merit,1,2024
8000,Yes,Yes,Small Business,Government Job,Graduate,Urban,60.3,OBC,0,2022
8000,Yes,Yes,Driver,Homemaker,No Formal Education,Urban,63.0,OBC,1,2023
35000,Yes,Yes,Farmer,Nurse,Diploma,Rural,68.6,OBC,1,2022
18000,No,No,Shopkeeper,Homemaker,Postgraduate,Rural,53.9,Merit,1,2024
25000,Yes,No,Engineer,Farmer,Graduate,Rural,47.3,Management,0,2022
45000,No,No,Factory Worker,Farmer,Diploma,Rural,89.4,OBC,1,2022
35000,Yes,No,Government Job,Government Job,Graduate,Semi-Urban,77.9,NRI,0,2022
25000,Yes,Yes,Factory Worker,Nurse,Diploma,Rural,68.0,Merit,0,2023
25000,No,No,Shopkeeper,Factory Worker,Diploma,Semi-Urban,85.7,Merit,0,2024
12000,Yes,Yes,Engineer,Farmer,HighSchool,Semi-Urban,94.0,Management,0,2024
3000,No,No,Small Business,Government Job,Primary School,Rural,53.2,SC/ST,1,2021
18000,No,No,Daily Wage Worker,Factory Worker,No Formal Education,Rural,59.1,Merit,1,2024
12000,No,No,Shopkeeper,Homemaker,Graduate,Rural,95.1,Sports,0,2022
18000,Yes,Yes,Shopkeeper,Daily Wage Worker,Diploma,Semi-Urban,72.1,SC/ST,0,2023
60000,No,No,Teacher,Teacher,Postgraduate,Semi-Urban,56.6,Sports,0,2024
12000,Yes,No,Daily Wage Worker,Teacher,HighSchool,Rural,49.3,Management,1,2024
5000,No,No,Driver,Nurse,HighSchool,Rural,98.3,SC/ST,1,2022
12000,Yes,Yes,Engineer,Farmer,Graduate,Urban,71.6,OBC,0,2021
12000,Yes,No,Small Business,Homemaker,No Formal Education,Semi-Urban,90.9,NRI,0,2024
35000,No,Yes,Government Job,Teacher,Diploma,Semi-Urban,77.5,NRI,1,2022
25000,Yes,No,Shopkeeper,Farmer,Primary School,Semi-Urban,66.2,Management,1,2024
45000,Yes,No,Factory Worker,Shopkeeper,HighSchool,Rural,90.6,Merit,0,2024
35000,No,Yes,Doctor,Teacher,Diploma,Urban,61.0,SC/ST,1,2023
18000,No,Yes,Factory Worker,Government Job,Graduate,Semi-Urban,85.3,Merit,0,2022
45000,No,Yes,Driver,Shopkeeper,HighSchool,Rural,66.8,OBC,1,2021
8000,Yes,No,Teacher,Shopkeeper,HighSchool,Rural,92.9,SC/ST,1,2021
3000,Yes,Yes,Government Job,Farmer,HighSchool,Semi-Urban,69.7,Merit,0,2023
5000,Yes,No,Daily Wage Worker,Factory Worker,Primary School,Rural,59.2,NRI,1,2024
45000,Yes,Yes,Farmer,Farmer,Postgraduate,Urban,82.8,SC/ST,0,2022
18000,Yes,No,Small Business,Homemaker,Graduate,Semi-Urban,90.7,SC/ST,0,2023
8000,No,No,Factory Worker,Government Job,Primary School,Urban,90.2,SC/ST,1,2022
25000,No,No,Daily Wage Worker,Government Job,HighSchool,Rural,68.2,Merit,1,2023
8000,Yes,Yes,Farmer,Nurse,HighSchool,Semi-Urban,66.0,Management,1,2024
35000,No,Yes,Shopkeeper,Factory Worker,HighSchool,Rural,48.8,Sports,1,2022
18000,No,No,Engineer,Government Job,Postgraduate,Urban,42.3,Management,0,2024
18000,Yes,No,Farmer,Teacher,Primary School,Semi-Urban,95.0,Management,0,2021
12000,Yes,No,Driver,Factory Worker,Postgraduate,Semi-Urban,82.8,Sports,0,2021
35000,Yes,No,Shopkeeper,Nurse,Postgraduate,Rural,74.0,Merit,0,2024
18000,No,Yes,Doctor,Government Job,Graduate,Semi-Urban,74.4,OBC,0,2023
5000,Yes,No,Farmer,Factory Worker,Diploma,Semi-Urban,41.4,Merit,1,2021
8000,No,No,Teacher,Teacher,HighSchool,Rural,66.8,Merit,1,2021
100000,No,No,Driver,Daily Wage Worker,Graduate,Urban,94.4,SC/ST,0,2023
75000,Yes,No,Shopkeeper,Homemaker,Graduate,Semi-Urban,67.3,Merit,0,2022
35000,Yes,Yes,Doctor,Homemaker,Diploma,Semi-Urban,74.3,OBC,0,2022
12000,Yes,No,Shopkeeper,Farmer,No Formal Education,Rural,62.2,SC/ST,1,2024
100000,Yes,Yes,Driver,Homemaker,HighSchool,Semi-Urban,46.2,Merit,0,2021
45000,Yes,Yes,Farmer,Farmer,No Formal Education,Rural,59.1,OBC,1,2024
35000,No,No,Teacher,Homemaker,HighSchool,Semi-Urban,45.0,Merit,1,2022
18000,No,No,Teacher,Daily Wage Worker,Diploma,Urban,74.1,Merit,0,2021
12000,Yes,Yes,Factory Worker,Teacher,Postgraduate,Rural,97.9,Management,0,2023
5000,Yes,Yes,Doctor,Daily Wage Worker,Graduate,Urban,61.4,Merit,0,2024
75000,No,No,Factory Worker,Daily Wage Worker,Graduate,Urban,90.6,SC/ST,0,2021
18000,No,Yes,Doctor,Factory Worker,Graduate,Rural,42.5,Sports,1,2023
8000,No,No,Small Business,Government Job,Graduate,Rural,69.8,SC/ST,1,2021
12000,No,No,Engineer,Government Job,Diploma,Urban,78.6,NRI,0,2023
25000,Yes,No,Shopkeeper,Farmer,Graduate,Urban,58.8,Merit,0,2022
8000,No,Yes,Driver,Factory Worker,HighSchool,Rural,45.8,SC/ST,1,2024
60000,No,No,Teacher,Teacher,Postgraduate,Urban,52.9,Merit,0,2023
45000,Yes,No,Government Job,Government Job,Primary School,Rural,44.1,SC/ST,1,2021
35000,No,No,Small Business,Government Job,Graduate,Rural,92.4,Merit,0,2023
18000,No,No,Small Business,Teacher,Diploma,Urban,40.3,Merit,0,2022
35000,No,No,Government Job,Daily Wage Worker,Diploma,Rural,44.1,Merit,1,2022
25000,No,Yes,Shopkeeper,Factory Worker,Diploma,Urban,86.9,Merit,0,2023
35000,No,No,Doctor,Nurse,No Formal Education,Rural,57.7,Merit,1,2022
5000,No,Yes,Government Job,Nurse,Graduate,Rural,61.5,Merit,1,2021
18000,No,Yes,Driver,Teacher,HighSchool,Urban,58.1,Management,1,2021
5000,No,Yes,Government Job,Nurse,Diploma,Rural,92.6,Management,1,2024
25000,No,Yes,Factory Worker,Daily Wage Worker,Postgraduate,Urban,94.8,Merit,1,2022
12000,No,No,Teacher,Homemaker,Graduate,Urban,94.8,Management,0,2024
8000,Yes,No,Government Job,Factory Worker,Postgraduate,Urban,58.1,Merit,0,2021
5000,No,No,Shopkeeper,Daily Wage Worker,Primary School,Urban,51.8,SC/ST,1,2023
25000,No,No,Teacher,Farmer,HighSchool,Urban,88.9,Merit,0,2021
8000,Yes,No,Shopkeeper,Teacher,HighSchool,Rural,90.1,Merit,0,2021
75000,No,Yes,Daily Wage Worker,Nurse,Postgraduate,Semi-Urban,60.9,SC/ST,1,2024
25000,No,Yes,Small Business,Shopkeeper,Graduate,Semi-Urban,74.1,Management,1,2024
12000,Yes,No,Government Job,Nurse,Graduate,Urban,63.1,Merit,0,2021
25000,Yes,Yes,Teacher,Factory Worker,Graduate,Urban,40.9,Merit,0,2022
3000,No,No,Driver,Government Job,HighSchool,Rural,64.2,Merit,1,2023
75000,Yes,No,Farmer,Farmer,HighSchool,Urban,92.8,Merit,0,2024
25000,Yes,No,Farmer,Teacher,Diploma,Semi-Urban,90.6,OBC,1,2022
45000,No,No,Teacher,Factory Worker,No Formal Education,Semi-Urban,46.1,Management,1,2024
5000,No,No,Government Job,Government Job,Graduate,Semi-Urban,58.1,Merit,1,2023
25000,No,No,Teacher,Farmer,Postgraduate,Rural,44.4,OBC,0,2022
25000,Yes,No,Daily Wage Worker,Farmer,HighSchool,Urban,57.6,Merit,0,2023
75000,No,No,Doctor,Nurse,Graduate,Semi-Urban,57.6,Sports,0,2021
25000,No,Yes,Daily Wage Worker,Factory Worker,Diploma,Urban,43.1,Management,1,2023
18000,No,No,Shopkeeper,Nurse,No Formal Education,Urban,92.8,SC/ST,1,2021
12000,Yes,Yes,Farmer,Shopkeeper,HighSchool,Urban,89.6,OBC,1,2022
12000,No,Yes,Farmer,Teacher,Diploma,Urban,94.8,Sports,1,2023
25000,No,No,Farmer,Government Job,Graduate,Urban,83.9,Management,1,2022
18000,No,No,Small Business,Homemaker,Diploma,Rural,84.8,Merit,0,2024
3000,Yes,Yes,Engineer,Nurse,HighSchool,Semi-Urban,86.4,Merit,0,2021
60000,No,No,Teacher,Shopkeeper,Primary School,Rural,79.8,NRI,0,2024
60000,Yes,No,Shopkeeper,Nurse,Graduate,Semi-Urban,50.4,Management,0,2022
8000,No,Yes,Driver,Nurse,HighSchool,Urban,50.5,Merit,1,2023
25000,No,Yes,Daily Wage Worker,Daily Wage Worker,Graduate,Urban,69.5,Management,1,2022
5000,No,Yes,Engineer,Factory Worker,HighSchool,Semi-Urban,80.7,Merit,1,2022
35000,No,Yes,Driver,Government Job,Graduate,Urban,41.8,OBC,0,2024
12000,No,No,Farmer,Nurse,HighSchool,Rural,72.2,Merit,1,2021
35000,Yes,Yes,Teacher,Daily Wage Worker,No Formal Education,Urban,92.3,OBC,0,2021
45000,No,No,Engineer,Shopkeeper,Diploma,Rural,47.4,Management,1,2023
45000,Yes,Yes,Farmer,Government Job,Graduate,Rural,58.5,SC/ST,1,2023
5000,No,No,Daily Wage Worker,Factory Worker,Postgraduate,Rural,98.2,Management,1,2024
75000,Yes,No,Small Business,Farmer,Postgraduate,Urban,59.4,Management,0,2024
12000,No,No,Daily Wage Worker,Factory Worker,Diploma,Semi-Urban,41.7,SC/ST,1,2023
3000,No,Yes,Farmer,Teacher,Graduate,Semi-Urban,80.3,Management,1,2024
25000,No,No,Doctor,Nurse,Diploma,Rural,98.0,Merit,0,2021
18000,Yes,Yes,Factory Worker,Nurse,Diploma,Rural,53.6,Sports,1,2023
60000,Yes,No,Doctor,Teacher,Primary School,Rural,52.7,Management,0,2023
45000,Yes,No,Factory Worker,Teacher,Graduate,Rural,65.5,Sports,1,2022
12000,Yes,No,Daily Wage Worker,Nurse,Postgraduate,Semi-Urban,71.6,Merit,0,2024
75000,No,No,Government Job,Daily Wage Worker,Primary School,Rural,88.1,Merit,0,2023
12000,No,Yes,Teacher,Government Job,HighSchool,Semi-Urban,98.6,SC/ST,1,2021
25000,No,Yes,Daily Wage Worker,Nurse,Primary School,Semi-Urban,88.0,Management,1,2024
12000,Yes,Yes,Doctor,Farmer,Diploma,Semi-Urban,57.2,SC/ST,0,2022
75000,No,No,Farmer,Shopkeeper,Diploma,Urban,86.4,OBC,0,2023
8000,No,No,Engineer,Nurse,HighSchool,Rural,77.2,Merit,1,2021
5000,Yes,Yes,Teacher,Farmer,Diploma,Semi-Urban,69.0,NRI,0,2022
18000,No,Yes,Shopkeeper,Daily Wage Worker,Graduate,Rural,77.4,Merit,0,2023
100000,Yes,Yes,Daily Wage Worker,Nurse,HighSchool,Urban,65.9,SC/ST,0,2021
60000,No,No,Doctor,Nurse,Graduate,Urban,77.3,Merit,0,2022
45000,Yes,Yes,Doctor,Farmer,Graduate,Rural,83.5,Merit,0,2023
60000,Yes,No,Daily Wage Worker,Shopkeeper,Graduate,Rural,40.8,Management,1,2024
60000,Yes,Yes,Teacher,Daily Wage Worker,HighSchool,Rural,76.4,SC/ST,0,2021
25000,No,Yes,Daily Wage Worker,Homemaker,Postgraduate,Rural,49.0,Merit,1,2024
12000,No,Yes,Teacher,Shopkeeper,HighSchool,Rural,59.9,Merit,1,2022
45000,No,No,Small Business,Teacher,No Formal Education,Rural,66.2,Merit,1,2022
35000,No,Yes,Farmer,Teacher,Primary School,Rural,97.4,Merit,1,2023
18000,Yes,No,Daily Wage Worker,Government Job,Postgraduate,Rural,59.2,Merit,1,2022
5000,No,No,Engineer,Nurse,Primary School,Rural,88.3,Management,1,2022
45000,No,Yes,Small Business,Teacher,Diploma,Rural,59.9,Merit,1,2021
12000,No,No,Engineer,Shopkeeper,Graduate,Semi-Urban,53.5,Management,0,2021
75000,Yes,No,Driver,Government Job,Graduate,Urban,65.6,Management,0,2021
12000,No,Yes,Driver,Homemaker,Graduate,Rural,45.3,SC/ST,1,2023
8000,No,Yes,Factory Worker,Nurse,HighSchool,Rural,88.3,Management,1,2022
60000,No,No,Engineer,Shopkeeper,Graduate,Urban,69.4,Merit,0,2021
8000,No,No,Farmer,Daily Wage Worker,No Formal Education,Rural,80.6,SC/ST,1,2021
8000,Yes,Yes,Engineer,Nurse,HighSchool,Rural,87.1,SC/ST,1,2024
25000,No,No,Daily Wage Worker,Homemaker,Primary School,Semi-Urban,64.1,Management,1,2024
60000,Yes,No,Farmer,Teacher,Diploma,Rural,66.6,OBC,0,2024
8000,Yes,No,Government Job,Daily Wage Worker,Primary School,Semi-Urban,55.0,Management,1,2023
12000,Yes,Yes,Teacher,Nurse,Diploma,Urban,82.1,Merit,0,2024
45000,Yes,No,Factory Worker,Factory Worker,HighSchool,Semi-Urban,89.1,OBC,0,2023
100000,Yes,No,Teacher,Farmer,Diploma,Urban,73.9,Merit,0,2021
25000,No,Yes,Small Business,Daily Wage Worker,Primary School,Rural,42.3,Sports,1,2023
8000,No,Yes,Factory Worker,Homemaker,Diploma,Rural,82.0,SC/ST,1,2021
3000,Yes,Yes,Shopkeeper,Farmer,Graduate,Semi-Urban,79.3,Merit,0,2021
12000,Yes,Yes,Teacher,Shopkeeper,HighSchool,Semi-Urban,60.2,Management,1,2021
8000,No,Yes,Factory Worker,Teacher,Graduate,Urban,64.1,OBC,1,2021
35000,No,No,Driver,Factory Worker,Diploma,Urban,69.2,OBC,1,2024
8000,No,No,Factory Worker,Daily Wage Worker,HighSchool,Rural,86.7,SC/ST,1,2021
25000,No,Yes,Driver,Daily Wage Worker,HighSchool,Urban,80.2,Merit,1,2024
35000,No,Yes,Small Business,Government Job,HighSchool,Rural,70.5,Merit,1,2022
25000,No,Yes,Government Job,Teacher,Graduate,Urban,87.5,Management,0,2021
8000,No,No,Farmer,Daily Wage Worker,HighSchool,Rural,90.7,Merit,1,2022
45000,Yes,Yes,Farmer,Nurse,Postgraduate,Semi-Urban,43.1,Sports,0,2021
35000,Yes,Yes,Doctor,Teacher,Graduate,Semi-Urban,44.1,Merit,0,2022
45000,Yes,No,Shopkeeper,Shopkeeper,Diploma,Semi-Urban,68.1,SC/ST,0,2022
8000,Yes,Yes,Small Business,Shopkeeper,Postgraduate,Urban,86.1,Management,0,2021
8000,No,Yes,Factory Worker,Farmer,HighSchool,Semi-Urban,46.5,SC/ST,1,2022
75000,No,Yes,Daily Wage Worker,Factory Worker,Graduate,Semi-Urban,90.9,Merit,0,2021
18000,Yes,Yes,Shopkeeper,Nurse,HighSchool,Urban,48.1,Merit,0,2021
12000,Yes,No,Doctor,Teacher,Diploma,Rural,81.0,Merit,0,2023
25000,Yes,Yes,Engineer,Shopkeeper,No Formal Education,Semi-Urban,87.4,OBC,0,2021
35000,Yes,No,Government Job,Government Job,Postgraduate,Urban,42.7,OBC,0,2023
75000,Yes,Yes,Shopkeeper,Government Job,HighSchool,Rural,90.1,Merit,0,2023
12000,Yes,Yes,Engineer,Teacher,Graduate,Rural,89.6,SC/ST,1,2024
75000,Yes,Yes,Farmer,Homemaker,Postgraduate,Rural,48.6,Merit,1,2023
3000,Yes,Yes,Doctor,Daily Wage Worker,No Formal Education,Rural,52.3,Merit,1,2022
25000,No,Yes,Doctor,Shopkeeper,Postgraduate,Semi-Urban,90.8,SC/ST,0,2022
35000,No,No,Factory Worker,Homemaker,Diploma,Semi-Urban,97.0,Merit,0,2021
5000,No,No,Engineer,Daily Wage Worker,Graduate,Rural,68.6,Merit,1,2021
8000,No,No,Small Business,Shopkeeper,Diploma,Semi-Urban,47.4,Management,1,2021
18000,Yes,Yes,Daily Wage Worker,Factory Worker,Graduate,Rural,56.5,NRI,1,2022
100000,No,Yes,Shopkeeper,Daily Wage Worker,Postgraduate,Urban,60.0,OBC,0,2023
25000,No,Yes,Farmer,Homemaker,Diploma,Urban,77.2,OBC,1,2023
75000,Yes,No,Government Job,Teacher,Graduate,Rural,82.6,Sports,0,2023
45000,No,Yes,Farmer,Homemaker,Postgraduate,Rural,75.8,SC/ST,1,2022
18000,Yes,No,Small Business,Factory Worker,Graduate,Urban,92.5,Merit,0,2024
45000,No,Yes,Daily Wage Worker,Farmer,Postgraduate,Semi-Urban,40.6,OBC,1,2021
3000,No,Yes,Government Job,Homemaker,Graduate,Rural,63.0,Merit,1,2023
5000,No,No,Shopkeeper,Homemaker,HighSchool,Semi-Urban,57.2,Merit,0,2024
60000,No,Yes,Small Business,Shopkeeper,Graduate,Semi-Urban,84.4,OBC,0,2024
45000,No,No,Shopkeeper,Government Job,Graduate,Urban,80.2,Merit,0,2021
12000,No,No,Teacher,Nurse,No Formal Education,Urban,92.6,NRI,0,2023
25000,No,Yes,Driver,Factory Worker,HighSchool,Rural,58.5,NRI,1,2024
35000,No,Yes,Teacher,Teacher,HighSchool,Semi-Urban,90.5,SC/ST,1,2022
60000,Yes,No,Shopkeeper,Farmer,Graduate,Urban,71.8,Management,0,2023
35000,No,No,Doctor,Teacher,Graduate,Rural,49.0,Merit,0,2022
18000,No,No,Driver,Daily Wage Worker,Graduate,Urban,88.9,Sports,1,2022
18000,No,No,Daily Wage Worker,Factory Worker,Primary School,Semi-Urban,53.8,Sports,1,2023
18000,Yes,No,Shopkeeper,Teacher,Primary School,Rural,84.9,Merit,1,2022
35000,Yes,No,Daily Wage Worker,Daily Wage Worker,HighSchool,Urban,71.7,Merit,0,2022
60000,Yes,Yes,Farmer,Shopkeeper,Graduate,Urban,70.4,OBC,0,2023
18000,Yes,No,Factory Worker,Shopkeeper,Postgraduate,Rural,71.6,OBC,0,2021
12000,No,No,Small Business,Government Job,Postgraduate,Semi-Urban,97.6,Merit,0,2022
12000,Yes,No,Daily Wage Worker,Homemaker,HighSchool,Semi-Urban,74.5,SC/ST,1,2023
45000,No,No,Driver,Homemaker,Graduate,Urban,42.6,Sports,1,2021
45000,Yes,Yes,Doctor,Farmer,Graduate,Rural,96.4,Merit,0,2022
5000,No,No,Engineer,Daily Wage Worker,Postgraduate,Semi-Urban,56.6,Management,1,2024
5000,No,No,Government Job,Teacher,Graduate,Urban,67.7,OBC,0,2023
25000,Yes,Yes,Factory Worker,Farmer,Diploma,Urban,88.6,SC/ST,1,2023
8000,Yes,Yes,Government Job,Teacher,Graduate,Rural,45.0,SC/ST,1,2024
60000,Yes,No,Doctor,Teacher,HighSchool,Urban,53.7,SC/ST,0,2024
12000,No,No,Farmer,Factory Worker,Graduate,Rural,91.7,Merit,1,2022
8000,No,Yes,Government Job,Farmer,Graduate,Urban,46.9,Sports,1,2021
75000,No,Yes,Daily Wage Worker,Nurse,Postgraduate,Rural,70.5,NRI,1,2023
8000,No,Yes,Small Business,Daily Wage Worker,HighSchool,Urban,51.0,Merit,1,2022
12000,No,No,Government Job,Teacher,Postgraduate,Urban,60.9,Merit,0,2022
8000,No,Yes,Factory Worker,Shopkeeper,HighSchool,Urban,86.6,SC/ST,1,2022
8000,Yes,No,Driver,Farmer,Graduate,Rural,96.6,NRI,0,2022
3000,No,No,Doctor,Shopkeeper,Postgraduate,Urban,73.9,Management,0,2021
5000,Yes,Yes,Shopkeeper,Nurse,No Formal Education,Rural,61.4,Merit,1,2021
8000,Yes,Yes,Government Job,Teacher,Graduate,Semi-Urban,44.7,Merit,0,2024
5000,Yes,No,Engineer,Teacher,Graduate,Urban,63.7,Management,0,2024
25000,No,No,Teacher,Shopkeeper,Graduate,Urban,88.0,OBC,0,2022
35000,No,Yes,Farmer,Shopkeeper,Primary School,Semi-Urban,84.6,SC/ST,1,2021
18000,No,No,Engineer,Homemaker,Postgraduate,Rural,61.0,SC/ST,1,2022
12000,Yes,No,Driver,Government Job,Postgraduate,Semi-Urban,50.0,Merit,0,2022
25000,No,No,Engineer,Farmer,Graduate,Rural,72.1,Merit,0,2022
60000,No,No,Shopkeeper,Shopkeeper,Diploma,Rural,89.1,OBC,1,2022
60000,Yes,Yes,Teacher,Nurse,Graduate,Urban,73.2,Merit,0,2024
5000,Yes,No,Farmer,Farmer,No Formal Education,Semi-Urban,72.0,Merit,1,2024
8000,Yes,No,Engineer,Teacher,Graduate,Rural,81.7,Merit,0,2022
12000,No,Yes,Government Job,Daily Wage Worker,Primary School,Semi-Urban,47.6,Sports,1,2024
12000,Yes,No,Shopkeeper,Shopkeeper,HighSchool,Rural,76.5,SC/ST,1,2024
25000,No,Yes,Government Job,Government Job,Primary School,Rural,44.6,Sports,1,2022
18000,No,No,Engineer,Factory Worker,Graduate,Urban,49.4,Sports,0,2024
5000,Yes,Yes,Teacher,Daily Wage Worker,Graduate,Rural,43.0,Merit,1,2024
18000,Yes,Yes,Shopkeeper,Government Job,Graduate,Rural,76.2,SC/ST,1,2022
25000,No,Yes,Doctor,Homemaker,Primary School,Rural,96.9,Merit,0,2022
5000,No,No,Driver,Teacher,HighSchool,Urban,48.8,SC/ST,1,2023
60000,No,Yes,Farmer,Shopkeeper,Diploma,Rural,67.8,Merit,1,2024
5000,Yes,Yes,Driver,Farmer,Graduate,Rural,92.7,Management,1,2023
75000,Yes,No,Small Business,Farmer,Primary School,Urban,90.2,SC/ST,0,2023
5000,No,No,Factory Worker,Homemaker,Graduate,Semi-Urban,65.0,Merit,1,2022
60000,No,No,Doctor,Farmer,Diploma,Rural,83.9,Management,0,2023
75000,Yes,No,Teacher,Nurse,Postgraduate,Urban,42.6,SC/ST,0,2024
100000,Yes,No,Daily Wage Worker,Daily Wage Worker,Diploma,Semi-Urban,84.6,Management,0,2024
45000,No,Yes,Doctor,Daily Wage Worker,Primary School,Urban,82.8,OBC,0,2023
45000,Yes,Yes,Daily Wage Worker,Farmer,Primary School,Rural,74.4,Management,1,2021
35000,Yes,No,Doctor,Nurse,HighSchool,Rural,46.7,Merit,0,2023
45000,No,Yes,Engineer,Daily Wage Worker,HighSchool,Rural,57.5,Merit,0,2023
8000,Yes,Yes,Small Business,Government Job,Graduate,Semi-Urban,50.1,OBC,1,2023
25000,Yes,No,Engineer,Farmer,Graduate,Semi-Urban,43.5,SC/ST,0,2023
25000,No,Yes,Small Business,Homemaker,Primary School,Semi-Urban,93.1,Merit,1,2021
60000,Yes,Yes,Daily Wage Worker,Shopkeeper,Postgraduate,Rural,50.7,Merit,1,2023
18000,Yes,No,Daily Wage Worker,Farmer,Primary School,Semi-Urban,52.2,SC/ST,1,2023
18000,No,No,Government Job,Homemaker,Graduate,Semi-Urban,81.3,Sports,0,2023
